line,hts_code,country,entry_date,entered_value,declared_duty,calculated_duty,variance,breakdown
24,8482400000,JP,2025-03-27,70,4.06,21.56,17.5,Base MFN Rate: 5.8% = $4.06 | Sec 232 Auto Parts (FRNs): 0.0% = $0.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $17.50 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $0.09
27,8511500000,JP,2025-03-27,566,14.15,155.65,141.5,Base MFN Rate: 2.5% = $14.15 | Sec 232 Auto Parts (FRNs): 0.0% = $0.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $141.50 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $0.71
32,8544300000,JP,2025-03-27,589,29.45,176.7,147.25,Base MFN Rate: 5.0% = $29.45 | Sec 232 Auto Parts (FRNs): 0.0% = $0.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $147.25 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $0.74
33,8708106050,JP,2025-03-27,41680,1042.0,11462.0,10420.0,Base MFN Rate: 2.5% = $1042.00 | Sec 232 Aluminum (FRNs): 25.0% = $0.00 | Sec 232 Auto Parts (FRNs): 0.0% = $0.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $10420.00 | MPF: 0.3464% = $144.38 | HMF: 0.125% = $52.10
36,8708305090,JP,2025-03-27,1920,48.0,528.0,480.0,Base MFN Rate: 2.5% = $48.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $480.00 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $2.40
37,8708407580,JP,2025-03-27,837,20.93,230.18,209.25,Base MFN Rate: 2.5% = $20.93 | Sec 232 Auto Parts (FRNs): 0.0% = $0.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $209.25 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $1.05
38,8708706045,JP,2025-03-27,3499,87.48,962.23,874.75,Base MFN Rate: 2.5% = $87.48 | Sec 232 MHDV + Buses + Parts: 25.0% = $874.75 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $4.37
41,8708937500,JP,2025-03-27,4628,115.7,1272.7,1157.0,Base MFN Rate: 2.5% = $115.70 | Sec 232 Auto Parts (FRNs): 0.0% = $0.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $1157.00 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $5.79
42,8708947550,JP,2025-03-27,311,7.78,85.53,77.75,Base MFN Rate: 2.5% = $7.78 | Sec 232 MHDV + Buses + Parts: 25.0% = $77.75 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $0.39
43,8708995500,JP,2025-03-27,909,22.73,249.98,227.25,Base MFN Rate: 2.5% = $22.73 | Sec 232 Auto Parts (FRNs): 0.0% = $0.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $227.25 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $1.14
44,8708995500,PH,2025-03-27,45,1.13,12.37,11.24,Base MFN Rate: 2.5% = $1.12 | Sec 232 Auto Parts (FRNs): 0.0% = $0.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $11.25 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $0.06
59,99038190,MULTI,2025-03-27,25,6.25,12.5,6.25,Base MFN Rate: 50.0% = $12.50 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $0.03
61,99038190,MULTI,2025-03-27,90,22.5,45.0,22.5,Base MFN Rate: 50.0% = $45.00 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $0.11
63,99038190,MULTI,2025-03-27,6,1.5,3.0,1.5,Base MFN Rate: 50.0% = $3.00 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $0.01
67,99038190, JP,2025-03-27,0,2.25,0.0,-2.25,Base MFN Rate: 50.0% = $0.00 | MPF: 0.3464% = $31.67
69,99038190, JP,2025-03-27,45,11.25,22.5,11.25,Base MFN Rate: 50.0% = $22.50 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $0.06
70,8708106050, JP,2025-03-27,2399,59.98,659.73,599.75,Base MFN Rate: 2.5% = $59.98 | Sec 232 Aluminum (FRNs): 25.0% = $0.00 | Sec 232 Auto Parts (FRNs): 0.0% = $0.00 | Sec 232 MHDV + Buses + Parts: 25.0% = $599.75 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $3.00
71,99038508, JP,2025-03-27,2399,599.75,1199.5,599.75,Base MFN Rate: 50.0% = $1199.50 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $3.00
77,99038508,JP,2025-03-27,998,249.5,499.0,249.5,Base MFN Rate: 50.0% = $499.00 | MPF: 0.3464% = $31.67 | HMF: 0.125% = $1.25
